"","Cue_c","Cue_d","LF_c","LF_d","RF_c","RF_d","LH_c","LH_d","RH_c","RH_d","Ton_c","Ton_d","x","y","z"
"V91",4.05410473461784,-3.70249742915222,-2.03791711319095,-6.87520609705387,-0.912924418146157,-6.19510966058464,-2.90811499112382,-5.05369539662952,-1.8652426465769,-4.35647910117491,-2.46938296582602,-6.17652009669628,51,52,59
"V92",2.16494183389195,-1.9711865185535,-3.23383916764437,-3.90174425206133,-1.6851465326998,-4.44096462849237,-4.08353033798714,-4.49317122223463,4.58270394288752,-0.306438618157642,-0.6506966135457,-5.7544638032535,64,52,59
"V93",1.97926811062862,-1.99158227830903,-3.23834181137918,-3.77227261694067,-1.48857359843446,-4.21994351920426,-4.09054845968403,-4.46741343433551,4.7156946431031,-0.144381614431078,-0.518248747800786,-5.61426075365836,65,52,59
"V94",1.80865010199402,-2.04010543104293,-3.25784430368084,-3.68896388275391,-1.23928362127855,-3.99068420582472,-4.06810709916017,-4.46637918170746,4.72781884456406,-0.0471981364700066,-0.377941200308,-5.46032382392589,66,52,59
"V95",4.18215345960781,-3.8838990736204,-1.9525355434637,-7.17021632115127,-1.00693267944393,-6.65467749126421,-2.75672922659141,-4.93861040610071,-2.06553118544921,-4.46627578092392,-2.42938862587418,-6.02335221982409,50,53,59
"V96",4.23107498328918,-3.74189184661786,-2.22448489137193,-7.11795095860225,-1.06158616998529,-6.63607473872224,-2.85171431808929,-5.02439297357403,-1.78270418836651,-4.32347624093305,-2.3085009384276,-6.06350946019436,51,53,59
"V97",4.23596204001338,-3.57839389494807,-2.47691685507932,-7.00617310531544,-1.13947114622843,-6.58572834178693,-2.94512318174993,-5.07887123293503,-1.42660299755747,-4.13068587889648,-2.16644690316538,-6.09610987018495,52,53,59
"V98",2.18689730660162,-2.01982630140996,-3.23309961913799,-4.01207535903378,-1.68345214980482,-4.59818761151624,-3.97824271048753,-4.37330125411639,4.3270446458004,-0.467887993754146,-0.418075887995444,-5.72708472009766,63,53,59
"V99",1.94701477790009,-2.00580168335898,-3.20040849386451,-3.81154966314934,-1.51777494273705,-4.33553721799197,-3.99960191688697,-4.31175244592893,4.5639188313698,-0.248978962808357,-0.271140108492846,-5.60363521033714,64,53,59
"V100",1.72110658670585,-2.02029215466138,-3.17740749560057,-3.65592817702002,-1.29872787782199,-4.06514533364511,-3.99178120263175,-4.27291200046797,4.68309150820703,-0.0917003671441272,-0.119442154791903,-5.46498703330028,65,53,59
"V101",1.51180953975811,-2.06289432179529,-3.16958235386237,-3.54834938243102,-1.02830189767012,-3.78860167729717,-3.95340171426445,-4.25955846828234,4.68054727542367,-0.000197240046771974,0.0392708148156084,-5.31279878990447,66,53,59
"V102",4.41901621961456,-3.81362458589108,-2.38088568225114,-7.35445681851141,-1.20842120173826,-7.06677364747033,-2.77966762047408,-4.99139251724681,-1.74435682441602,-4.29563231737521,-2.10857435740528,-5.96520314296828,51,54,59
"V103",4.41429843661963,-3.65909631269325,-2.63327889366511,-7.23032044656865,-1.27007300050903,-6.99756625503151,-2.87902314933446,-5.03982467652111,-1.39587695915925,-4.09976199505487,-1.95505233826003,-5.99310319692155,52,54,59
"V104",4.3605388667423,-3.48774672354111,-2.85468164270968,-7.04855760248102,-1.34762871473527,-6.89273792292659,-2.97880896329064,-5.05659861858723,-0.977618408926169,-3.85640213753984,-1.78501533272013,-6.01292539571892,53,54,59
"V105",2.32766444089664,-2.16571350782106,-3.27553338429169,-4.25017304847288,-1.67835250936869,-4.85612427103172,-3.83100139393167,-4.30533726799362,3.88598654483846,-0.721111875823795,-0.181951519326246,-5.7073124122412,62,54,59
"V106",2.03789932719908,-2.11919460465406,-3.21538830528858,-3.98348413592383,-1.54197574087165,-4.55238451401538,-3.86619024224496,-4.21231969602192,4.21643095603917,-0.453123825851505,-0.0168987077478853,-5.60181260784621,63,54,59
"V107",1.75825790345135,-2.10039938488507,-3.1576585284077,-3.75730285671841,-1.35345856037232,-4.24020329643226,-3.87403006209419,-4.13821548990859,4.43887176754127,-0.240228573439578,0.15002291530725,-5.48043808090289,64,54,59
"V108",1.49325373007475,-2.10962095011418,-3.10915794236563,-3.57700166887782,-1.11295508152845,-3.92165812727505,-3.85191331558624,-4.0872186257581,4.54399246375163,-0.0892375522090818,0.321038342995103,-5.34416218817665,65,54,59
"V109",1.24613966017304,-2.14667184998878,-3.07583488793737,-3.44599976297561,-0.822470726864146,-3.59893749792043,-3.79881707669672,-4.06222104311497,4.52789997930183,-0.00414994993298758,0.49813397243702,-5.19448611049986,66,54,59
"V110",4.17710939302739,-4.21571785675682,-1.32552251643469,-7.44678148391762,-1.35095819693082,-7.39076064272905,-2.20323118790856,-4.45165414139423,-2.41302338888403,-4.5623037756882,-2.24973760463455,-5.70079728900481,47,55,59
"V111",4.34672285633134,-4.18692271119874,-1.62004447618292,-7.57970293142117,-1.3190031640055,-7.47446002640454,-2.34646499326137,-4.62652489500964,-2.34033370599541,-4.56281451996002,-2.2038226607776,-5.75928094120789,48,55,59
"V112",4.47930360391448,-4.1255277241157,-1.92133117168712,-7.64696365569819,-1.30849432872808,-7.51753302324514,-2.4719049144355,-4.76933474315607,-2.21026273931638,-4.51603498166905,-2.12229414392365,-5.80856237990433,49,55,59
"V113",4.56749296125639,-4.03335017636078,-2.21712624263169,-7.6462079398104,-1.31899065966886,-7.51773094506661,-2.58502139260846,-4.87881549450306,-2.01488915179285,-4.41956799784,-2.00832707956169,-5.84928564688348,50,55,59
"V114",4.60601210155109,-3.91351356452222,-2.49599901390247,-7.57756508822755,-1.3488259906372,-7.47422650950526,-2.69070112390026,-4.95442442894931,-1.7494573922237,-4.27253666744725,-1.8662347977941,-5.88179908109018,51,55,59
"V115",4.59203692858635,-3.77042715998146,-2.74824126348141,-7.44378905820184,-1.39524516404114,-7.38777123105747,-2.79290304904804,-4.9964188080356,-1.4128758835079,-4.07587851511848,-1.70117174026294,-5.90621229152668,52,55,59
"V116",4.52517585961172,-3.60957406032409,-2.96639811396428,-7.25006204667012,-1.45450664623961,-7.26054317048172,-2.89441945388117,-5.00585660093724,-1.00789123641035,-3.83242785506573,-1.51871968245163,-5.92245952451775,53,55,59
"V117",2.24085609178138,-2.32417416692485,-3.26143155973109,-4.27781363778771,-1.56281122881153,-4.8647182607224,-3.68979111637034,-4.16374473907003,3.6908695301192,-0.744174127844995,0.239124087727966,-5.60641312121103,62,55,59
"V118",1.91393943679307,-2.27509605603671,-3.17989474808986,-3.98808603800465,-1.40344137068987,-4.51320822169757,-3.71195196385966,-4.05940233929163,4.00380631278187,-0.48461554951392,0.424258296985701,-5.50327077416093,63,55,59
